Year,Jurisdiction,Gender,Average scale score
2005,National,Male,216
2005,National,Female,222
2005,Alabama,Male,205
2005,Alabama,Female,211
2005,Alaska,Male,207
2005,Alaska,Female,215
2005,Arizona,Male,203
2005,Arizona,Female,211
2005,Arkansas,Male,213
2005,Arkansas,Female,221
2005,California,Male,203
2005,California,Female,210
2005,Colorado,Male,221
2005,Colorado,Female,227
2005,Connecticut,Male,222
2005,Connecticut,Female,230
2005,Delaware,Male,223
2005,Delaware,Female,229
2005,District of Columbia,Male,186
2005,District of Columbia,Female,195
2005,DoDEA,Male,222
2005,DoDEA,Female,230
2005,Florida,Male,217
2005,Florida,Female,222
2005,Georgia,Male,210
2005,Georgia,Female,219
2005,Hawaii,Male,205
2005,Hawaii,Female,214
2005,Idaho,Male,218
2005,Idaho,Female,225
2005,Illinois,Male,215
2005,Illinois,Female,218
2005,Indiana,Male,214
2005,Indiana,Female,222
2005,Iowa,Male,218
2005,Iowa,Female,224
2005,Kansas,Male,218
2005,Kansas,Female,223
2005,Kentucky,Male,218
2005,Kentucky,Female,222
2005,Louisiana,Male,208
2005,Louisiana,Female,211
2005,Maine,Male,221
2005,Maine,Female,228
2005,Maryland,Male,217
2005,Maryland,Female,223
2005,Massachusetts,Male,230
2005,Massachusetts,Female,233
2005,Michigan,Male,216
2005,Michigan,Female,221
2005,Minnesota,Male,221
2005,Minnesota,Female,229
2005,Mississippi,Male,200
2005,Mississippi,Female,208
2005,Missouri,Male,218
2005,Missouri,Female,224
2005,Montana,Male,222
2005,Montana,Female,227
2005,Nebraska,Male,219
2005,Nebraska,Female,224
2005,Nevada,Male,203
2005,Nevada,Female,212
2005,New Hampshire,Male,224
2005,New Hampshire,Female,231
2005,New Jersey,Male,221
2005,New Jersey,Female,226
2005,New Mexico,Male,203
2005,New Mexico,Female,211
2005,New York,Male,220
2005,New York,Female,225
2005,North Carolina,Male,213
2005,North Carolina,Female,221
2005,North Dakota,Male,222
2005,North Dakota,Female,227
2005,Ohio,Male,219
2005,Ohio,Female,226
2005,Oklahoma,Male,211
2005,Oklahoma,Female,217
2005,Oregon,Male,213
2005,Oregon,Female,220
2005,Pennsylvania,Male,219
2005,Pennsylvania,Female,227
2005,Rhode Island,Male,212
2005,Rhode Island,Female,221
2005,South Carolina,Male,210
2005,South Carolina,Female,217
2005,South Dakota,Male,219
2005,South Dakota,Female,227
2005,Tennessee,Male,210
2005,Tennessee,Female,218
2005,Texas,Male,216
2005,Texas,Female,222
2005,Utah,Male,216
2005,Utah,Female,226
2005,Vermont,Male,223
2005,Vermont,Female,230
2005,Virginia,Male,223
2005,Virginia,Female,228
2005,Washington,Male,219
2005,Washington,Female,228
2005,West Virginia,Male,211
2005,West Virginia,Female,218
2005,Wisconsin,Male,219
2005,Wisconsin,Female,224
2005,Wyoming,Male,221
2005,Wyoming,Female,226
2003,National,Male,215
2003,National,Female,222
2003,Alabama,Male,204
2003,Alabama,Female,211
2003,Alaska,Male,205
2003,Alaska,Female,218
2003,Arizona,Male,206
2003,Arizona,Female,212
2003,Arkansas,Male,209
2003,Arkansas,Female,218
2003,California,Male,202
2003,California,Female,209
2003,Colorado,Male,220
2003,Colorado,Female,227
2003,Connecticut,Male,224
2003,Connecticut,Female,232
2003,Delaware,Male,222
2003,Delaware,Female,226
2003,District of Columbia,Male,182
2003,District of Columbia,Female,195
2003,DoDEA,Male,220
2003,DoDEA,Female,228
2003,Florida,Male,214
2003,Florida,Female,222
2003,Georgia,Male,210
2003,Georgia,Female,218
2003,Hawaii,Male,202
2003,Hawaii,Female,215
2003,Idaho,Male,216
2003,Idaho,Female,221
2003,Illinois,Male,214
